Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
8/28/13,32262,2703195,53.456,"5,384,254",76402,279,765,102
8/29/13,38626,2741821,65.917,"5,450,171",76669,267,1363,141
8/30/13,36870,2778691,67.249,"5,517,420",76922,253,1872,165
8/31/13,28547,2807238,60.049,"5,577,469",77133,211,3064,174
9/1/13,28330,2835568,61.096,"5,638,565",77331,198,3273,148
9/2/13,24094,2859662,46.06,"5,684,625",77609,278,1829,121
9/3/13,36963,2896625,62.807,"5,747,431",77997,388,1015,157
9/4/13,42085,2938710,73.701,"5,821,132",78388,391,1263,176
9/5/13,40817,2979527,70.544,"5,891,676",78726,338,1354,185
9/6/13,40930,3020457,72.124,"5,963,800",79010,284,1556,155
9/7/13,38950,3059407,80.08,"6,043,881",79273,263,3600,200
9/8/13,37536,3096943,76.326,"6,120,207",79649,376,3025,182
9/9/13,40539,3137482,70.713,"6,190,920",80049,400,1060,203
9/10/13,42038,3179520,71.115,"6,262,034",80350,301,986,182
9/11/13,40533,3220053,67.437,"6,329,471",80645,295,1046,147
9/12/13,35065,3255118,56.447,"6,385,918",80910,265,756,126
9/13/13,41200,3296318,70.849,"6,456,767",81164,254,1375,145
9/14/13,35363,3331681,69.18,"6,525,948",81370,206,3035,153
9/15/13,35843,3367524,72.551,"6,598,498",81650,280,3010,167
9/16/13,35106,3402630,56.195,"6,654,693",81970,320,781,149
9/17/13,43117,3445747,70.847,"6,725,540",82207,237,971,170
9/18/13,42936,3488683,71.355,"6,796,896",82480,273,1078,152
9/19/13,43920,3532603,73.659,"6,870,554",82735,255,1209,154
9/20/13,43895,3576498,75.094,"6,945,648",82959,224,1631,156
9/21/13,35348,3611846,70.321,"7,015,969",83161,202,3096,132
9/22/13,33105,3644951,64.758,"7,080,726",83412,251,2479,136
9/23/13,38963,3683914,64.157,"7,144,883",83689,276,1006,171
9/24/13,42954,3726868,70.402,"7,215,286",83922,233,1158,153
9/25/13,42639,3769507,70.5,"7,285,786",84130,208,966,133
9/26/13,42247,3811754,68.646,"7,354,431",84305,175,973,117
9/27/13,41368,3853122,68.977,"7,423,409",84519,213,1321,137
9/28/13,38939,3892061,78.4,"7,501,809",84712,193,3452,126
9/29/13,36040,3928101,70.652,"7,572,461",84913,201,2718,161
9/30/13,41079,3969180,67.168,"7,639,629",85236,323,1023,140Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),"24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm)"
10/1/13,44772,4013952,73.665,"7,713,294",85494,258,1004
10/2/13,45667,4059619,76.149,"7,789,442",85773,279,1129
10/3/13,44472,4104091,72.635,"7,862,077",86333,560,1076
10/4/13,44089,4148180,74.223,"7,936,300",87112,779,1434
10/5/13,37683,4185863,73.892,"8,010,192",87862,750,2971
10/6/13,29029,4214892,49.887,"8,060,079",88604,742,1368
10/7/13,27504,4242396,40.324,"8,100,403",89189,585,421
10/8/13,42200,4284596,69.116,"8,169,518",89521,332,896
10/9/13,40607,4325203,62.214,"8,231,732",89769,248,714
10/10/13,34107,4359310,49.732,"8,281,464",89951,182,482
