,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
56,11/26/17,27180.0,60652.0,252227.0,904.0,63.0,217,11/1/17 6:42,11/1/17 6:46,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,31738,Subscriber,1974.0,1
57,11/27/17,46732.0,99410.0,252277.0,553.0,46.0,290,11/1/17 6:42,11/1/17 6:47,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,31691,Subscriber,1981.0,2
58,11/28/17,51166.0,97329.0,252316.0,455.0,58.0,216,11/1/17 6:43,11/1/17 6:46,3481,York St,40.71649,-74.04105,3639,Harborside,40.71925170000001,-74.034234,31864,Subscriber,1986.0,1
59,11/29/17,55290.0,107040.0,252365.0,638.0,71.0,732,11/1/17 6:43,11/1/17 6:56,3194,McGinley Square,40.72533993,-74.06762213,3275,Columbus Drive,40.718355200000005,-74.03891444,31769,Subscriber,1970.0,1
60,11/30/17,51699.0,97110.0,252414.0,509.0,83.0,178,11/1/17 6:44,11/1/17 6:47,3481,York St,40.71649,-74.04105,3183,Exchange Place,40.7162469,-74.0334588,31760,Subscriber,1982.0,1
61,12/1/17,50708.0,99868.0,252473.0,695.0,123.0,280,11/1/17 6:45,11/1/17 6:50,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,27997,Subscriber,1978.0,2
62,12/2/17,38922.0,83660.0,252514.0,1513.0,100.0,212,11/1/17 6:48,11/1/17 6:52,3278,Monmouth and 6th,40.72568548,-74.04879034,3272,Jersey & 3rd,40.72333159,-74.04595256,29214,Subscriber,1978.0,1
63,12/3/17,33728.0,77915.0,252561.0,1037.0,66.0,467,11/1/17 6:51,11/1/17 6:59,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,31884,Subscriber,1964.0,1
64,12/4/17,49630.0,92142.0,252618.0,649.0,63.0,143,11/1/17 6:53,11/1/17 6:56,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,31756,Subscriber,1974.0,2
65,12/5/17,41792.0,85008.0,252686.0,381.0,57.0,285,11/1/17 6:53,11/1/17 6:58,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,31817,Subscriber,1958.0,1
